id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
86a76a03-db8d-4f9e-ae35-24a70c5f334a,0,ENIAC,冯·诺依曼,冯·诺依曼参与ENIAC研制工作，并在研制过程中提出存储程序计算机方案,9.0,7,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
29838713-9152-45e4-836d-fe1117640648,1,ENIAC,电子管,ENIAC使用了18800个电子管作为其核心逻辑元件,10.0,7,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
18436985-b792-47ad-a598-56aae98d7b85,2,ENIAC,戈尔斯坦,戈尔斯坦是ENIAC研制工作的负责人，负责与冯·诺依曼的协作,8.0,5,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
5e1e6d75-7835-4693-895a-8fbec7954b07,3,电子管,第一代计算机,第一代计算机（20世纪40-50年代）使用电子管作为逻辑元件,10.0,6,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
14c40802-9785-4b86-a4e2-40a8d4f62736,4,电子管,声延迟线,电子管计算机同时使用电子管和声延迟线作为逻辑和存储器件,7.0,5,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
ddb42823-9af1-468c-bdda-7b39cd136d11,5,电子管,磁鼓,电子管计算机使用电子管作为逻辑元件，磁鼓作为存储器件,7.0,5,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
658a488b-df3f-44ef-a7ce-6aa79ad04b87,6,晶体管,第二代计算机,第二代计算机（20世纪50-60年代）采用晶体管作为核心电子开关器件,10.0,3,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
7500e2f0-7f40-45f1-99c0-eeb286f60ad3,7,晶体管,TRADIC,TRADIC是晶体管计算机的代表，采用晶体管作为核心电子开关器件,1.0,3,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
8d3b31d6-ad71-4e62-823c-44d22a3ae39e,8,存储程序,冯·诺依曼,冯·诺依曼提出存储程序计算机方案，该方案成为现代计算机结构的核心思想,10.0,8,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
931bd681-5c7e-485a-aecd-c86c192a8b03,9,存储程序,IAS计算机,IAS计算机是存储程序计算机方案的首个实现，成为现代计算机的原型,10.0,6,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
e7f3ad7a-9e2b-4449-a952-5fe8653af02c,10,存储程序,EDVAC,EDVAC是存储程序计算机方案的理论基础，该方案由冯·诺依曼在EDVAC报告中提出,9.0,5,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
a34ace92-af00-4b57-8b66-a62ebccad370,11,存储程序,二进制,存储程序计算机方案采用二进制表示方式，这是其重要特征之一,9.0,10,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
d7e95463-df75-4649-8ae9-2fc0753287dc,12,IAS计算机,冯·诺依曼,冯·诺依曼在普林斯顿高级研究院设计了IAS计算机，该机是存储程序计算机的原型,1.0,6,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a]
